#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
カブラアーム,0,1,2,1,1,3,16,118,2,-3,-2,0,1,防御,2,採取,-1,体力,1,研ぎ師,2,,,鬼蛙の爪,1,鬼蛙の甲殻,2,鬼蛙の鱗,2,カワズの油,2
カブラガード,0,2,2,1,1,3,8,74,3,-2,-1,1,2,装填速度,2,防御,2,採取,-1,体力,1,,,鬼蛙の爪,1,鬼蛙の甲殻,2,鬼蛙の鱗,2,カワズの油,2
スキュラアーム,0,1,2,0,2,4,19,121,-2,2,-2,1,2,観察眼,1,腹減り,-2,高速設置,4,睡眠,3,,,影蜘蛛の爪,2,影蜘蛛の甲殻,2,モンスターの体液,2,盾虫の甲殻,2
スキュラガード,0,2,2,0,2,4,9,75,-1,3,-1,2,3,観察眼,1,腹減り,-2,高速設置,4,睡眠,3,,,影蜘蛛の爪,2,影蜘蛛の甲殻,2,モンスターの体液,2,盾虫の甲殻,2
ザボアアーム,0,1,2,1,2,4,20,122,-2,2,-3,2,0,氷属性攻撃,3,肉食,1,腹減り,-2,,,,,化け鮫のヒレ,1,化け鮫の鱗,2,化け鮫の皮,3,氷結袋,3
ザボアガード,0,2,2,1,2,4,10,76,-1,3,-2,3,1,氷属性攻撃,3,肉食,1,腹減り,-2,,,,,化け鮫のヒレ,1,化け鮫の鱗,2,化け鮫の皮,3,氷結袋,3
ガララアーム,0,1,2,0,2,4,20,122,1,-2,0,-4,1,捕獲,3,聴覚保護,2,気まぐれ,-2,麻痺,3,,,絞蛇竜の牙,3,絞蛇竜の骨髄,1,絞蛇竜の鳴甲,2,垂皮竜の皮,3
ガララガード,0,2,2,0,2,4,10,76,2,-1,1,-3,2,捕獲,3,聴覚保護,2,気まぐれ,-2,麻痺,3,,,絞蛇竜の牙,3,絞蛇竜の骨髄,1,絞蛇竜の鳴甲,2,垂皮竜の皮,3
フルフルアーム,0,1,2,1,2,4,19,121,-4,1,1,2,1,雷属性攻撃,3,回復量,2,,,,,,,アルビノの中落ち,1,ブヨブヨした皮,2,鉄鉱石,6,雷光虫,1
フルフルガード,0,2,2,1,2,4,10,76,-3,2,2,3,2,雷属性攻撃,3,回復量,2,,,,,,,アルビノの中落ち,1,ブヨブヨした皮,2,鉄鉱石,6,雷光虫,1
レイアアーム,0,1,2,1,2,4,19,121,2,0,-2,0,-3,体力,1,火属性攻撃,3,回復速度,-2,,,,,火竜の翼爪,2,雌火竜の甲殻,2,雌火竜の棘,1,大地の結晶,5
レイアガード,0,2,2,1,2,4,10,76,3,1,-1,1,-2,体力,1,火属性攻撃,3,回復速度,-2,,,,,火竜の翼爪,2,雌火竜の甲殻,2,雌火竜の棘,1,大地の結晶,5
ランポスアーム,0,1,2,0,1,2,13,117,0,0,0,-4,2,攻撃,4,千里眼,2,麻痺,-2,気絶,1,,,ドスランポスの爪,2,ドスランポスの皮,3,ランポスの鱗,2,大地の結晶,3
ランポスガード,0,2,2,0,1,2,7,74,1,1,1,-3,3,攻撃,4,千里眼,2,麻痺,-2,気絶,1,,,ドスランポスの爪,2,ドスランポスの皮,3,ランポスの鱗,2,大地の結晶,3
クックアーム,0,1,2,0,1,2,16,118,2,-1,-2,-3,2,攻撃,3,火属性攻撃,3,水耐性,-1,,,,,怪鳥の鱗,3,怪鳥の甲殻,2,怪鳥の翼膜,2,,
クックガード,0,2,2,0,1,2,8,74,3,0,-1,-2,3,攻撃,3,火属性攻撃,3,水耐性,-1,,,,,怪鳥の鱗,3,怪鳥の甲殻,2,怪鳥の翼膜,2,,
バサルアーム,0,1,2,1,2,3,18,120,0,-2,1,1,-3,耐暑,2,毒,2,麻痺,-2,睡眠,1,,,岩竜の甲殻,3,マカライト鉱石,5,毒袋,3,大地の結晶,10
バサルガード,0,2,2,1,2,3,9,75,1,-1,2,2,-2,耐暑,2,毒,2,麻痺,-2,睡眠,1,,,岩竜の甲殻,3,マカライト鉱石,5,毒袋,3,大地の結晶,10
アシラアーム,0,1,2,1,99,3,13,117,-2,1,0,-1,1,高速収集,3,食いしん坊,1,腹減り,-2,ハチミツ,2,,,青熊獣の甲殻,2,青熊獣の毛,2,甲虫の腹袋,1,,
アシラガード,0,2,2,1,99,3,7,74,-1,2,1,0,2,高速収集,3,食いしん坊,1,腹減り,-2,ハチミツ,2,,,青熊獣の甲殻,2,青熊獣の毛,2,甲虫の腹袋,1,,
ルドロスアーム,0,1,2,1,99,3,15,117,-3,2,-1,-1,1,スタミナ,1,水属性攻撃,3,雷耐性,-2,耐暑,2,,,水獣の爪,1,ランポスの鱗,2,海綿質の皮,2,水袋,2
ルドロスガード,0,2,2,1,99,3,7,74,-2,3,0,0,2,スタミナ,1,水属性攻撃,3,雷耐性,-1,耐暑,2,,,水獣の爪,1,ランポスの鱗,2,海綿質の皮,2,水袋,2
ボロスアーム,0,1,2,1,99,4,18,120,-4,4,1,-2,0,攻撃,3,防御,2,ガード性能,1,腹減り,-2,,,土砂竜の甲殻,2,草食竜の甲殻,3,竜骨【小】,4,,
ボロスガード,0,2,2,0,99,4,8,74,-3,5,2,-1,1,攻撃,3,防御,1,精密射撃,4,腹減り,-2,,,土砂竜の甲殻,2,草食竜の甲殻,3,竜骨【小】,4,,
ハプルアーム,0,1,2,1,99,5,21,123,2,0,-2,-4,1,納刀,3,食事,2,,,,,,,鮮やかな体液,1,大きな骨,2,甲虫の大顎,2,,
ハプルガード,0,2,2,1,99,5,10,76,3,1,-1,-3,2,納刀,3,食事,2,,,,,,,鮮やかな体液,1,大きな骨,2,甲虫の大顎,2,,
ギザミアーム,0,1,2,1,99,5,21,123,1,2,-1,-1,0,匠,2,達人,-2,斬れ味,1,研ぎ師,3,,,鎌蟹の鋏,1,鎌蟹の甲殻,2,とがった爪,2,,
ギザミガード,0,2,2,1,99,5,10,76,2,3,0,0,1,防御,-1,貫通弾強化,2,貫通弾追加,1,精密射撃,2,,,鎌蟹の鋏,1,鎌蟹の甲殻,2,とがった爪,2,,
ハイメタアーム,0,1,2,1,2,4,14,116,-2,-2,3,-1,0,砲術,2,体力,1,スタミナ,-1,,,,,ドラグライト鉱石,3,マカライト鉱石,2,鉄鉱石,4,とがった爪,2
ハイメタガード,0,2,2,1,2,4,7,74,-1,-1,4,0,1,砲術,2,体力,1,スタミナ,-1,,,,,ドラグライト鉱石,3,マカライト鉱石,2,鉄鉱石,4,とがった爪,2
バトルアーム,0,1,2,1,3,5,14,116,2,-2,-2,-1,0,攻撃,2,聴覚保護,-2,ガード性能,3,,,,,翼蛇竜の皮,1,暖かい毛皮,1,コンガの毛,5,大地の結晶,2
バトルガード,0,2,2,1,3,5,7,74,3,-1,-1,0,1,攻撃,2,聴覚保護,-2,ガード強化,3,,,,,翼蛇竜の皮,1,暖かい毛皮,1,コンガの毛,5,大地の結晶,2
ゴアアーム,0,1,3,2,3,5,21,123,-4,2,-3,1,-2,細菌学,3,闘魂,1,火耐性,-3,,,,,黒蝕竜の惨爪,2,黒蝕竜の鱗,2,黒蝕竜の甲殻,4,ドラグライト鉱石,5
ゴアガード,0,2,3,2,3,5,11,77,-3,3,-2,2,-1,細菌学,3,闘魂,1,火耐性,-3,,,,,黒蝕竜の惨爪,2,黒蝕竜の鱗,2,黒蝕竜の甲殻,4,ドラグライト鉱石,5
レウスアーム,0,1,3,1,3,5,23,125,2,0,-2,0,-3,攻撃,5,火属性攻撃,2,回復量,-2,,,,,火竜の尻尾,1,火竜の翼爪,1,火竜の骨髄,2,ドラグライト鉱石,3
レウスガード,0,2,3,1,3,5,12,78,3,1,-1,1,-2,攻撃,4,火属性攻撃,2,回復量,-2,,,,,火竜の尻尾,1,火竜の翼爪,1,火竜の骨髄,2,ドラグライト鉱石,3
レックスアーム,0,1,3,1,3,5,22,124,2,-1,-4,0,-2,攻撃,2,研ぎ師,-2,食いしん坊,2,,,,,轟竜の牙,4,轟竜の鱗,3,轟竜の爪,4,狗竜の皮,2
レックスガード,0,2,3,1,3,5,11,77,3,0,-3,1,-1,反動,-2,攻撃,2,食いしん坊,2,,,,,轟竜の牙,4,轟竜の鱗,3,轟竜の爪,4,狗竜の皮,2
ジンオウアーム,0,1,3,1,3,5,21,123,0,-2,2,-4,1,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の爪,3,雷狼竜の逆鱗,1,雷狼竜の帯電毛,2,超電雷光虫,2
ジンオウガード,0,2,3,1,3,5,10,76,1,-1,3,-3,2,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の爪,3,雷狼竜の逆鱗,1,雷狼竜の帯電毛,2,超電雷光虫,2
セルタスアーム,0,1,3,2,3,5,21,123,-3,3,-1,-2,2,砲術,2,斬れ味,1,気力回復,-2,,,,,重甲虫の胸殻,3,重甲虫の甲殻,5,重甲虫の大顎,2,モンスターの体液,3
セルタスガード,0,2,3,2,3,5,10,76,-2,3,0,-1,3,砲術,2,榴弾追加,2,気力回復,-2,,,,,重甲虫の胸殻,3,重甲虫の甲殻,5,重甲虫の大顎,2,モンスターの体液,3
グラビドアーム,0,1,3,2,3,5,23,125,2,-3,0,1,-2,防御,1,ガード性能,2,スタミナ,-2,,,,,鎧竜の甲殻,6,睡眠袋,4,竜骨【大】,5,ドラグライト鉱石,3
グラビドガード,0,2,3,2,3,5,12,78,3,-2,1,2,-1,反動,2,防御,1,スタミナ,-2,,,,,鎧竜の甲殻,6,睡眠袋,4,竜骨【大】,5,ドラグライト鉱石,3
ブラキアーム,0,1,3,2,3,6,22,124,2,-4,0,-2,0,闘魂,1,回避性能,-2,爆弾強化,2,,,,,砕竜の黒曜甲,3,砕竜の拳,2,なぞの粘菌,3,紅蓮石,5
ブラキガード,0,2,3,2,3,6,11,77,3,-3,1,-1,1,闘魂,1,回避性能,-2,爆弾強化,3,,,,,砕竜の黒曜甲,3,砕竜の拳,2,なぞの粘菌,3,紅蓮石,5
残陽【篭手】,1,1,3,0,4,6,26,126,2,1,-3,2,-3,抜刀減気,2,達人,3,底力,-3,スタミナ,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
東雲【篭手】,1,2,3,2,4,6,13,78,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
常磐【篭手】,2,1,3,0,4,6,26,126,2,1,-3,2,-3,抜刀減気,2,達人,3,底力,-3,スタミナ,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
八千代【篭手】,2,2,3,2,4,6,13,78,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,2,,,豪山龍の紅鱗,6,豪山龍の腕甲,1,大地の龍玉,1,マカライト鉱石,3
アークアーム,1,1,3,1,7,6,24,126,-3,3,0,1,-5,匠,2,本気,1,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
アークガード,1,2,3,1,7,6,12,78,-2,4,1,2,-4,本気,1,装填数,2,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
フィリアアーム,2,1,3,1,7,6,24,126,-3,3,0,1,-5,匠,2,本気,1,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
フィリアガード,2,2,3,1,7,6,12,78,-2,4,1,2,-4,本気,1,装填数,2,火耐性,-3,狂撃耐性,3,,,天廻龍の浄爪,2,天廻龍の鱗,2,天廻龍の甲殻,4,レビテライト鉱石,3
ガルルガアーム,0,1,3,3,3,5,24,126,1,-3,1,-2,0,剣術,-1,達人,2,聴覚保護,2,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,黒狼鳥の翼,2,上竜骨,1
ガルルガガード,0,2,3,3,3,5,12,78,2,-2,2,-1,1,達人,2,聴覚保護,2,スタミナ,-1,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,黒狼鳥の翼,2,上竜骨,1
キリンアームロング,0,1,3,1,3,6,26,126,-2,-2,4,0,2,属性耐性,3,運気,-2,属性攻撃,2,,,,,キリンの皮,5,キリンのたてがみ,2,怪鳥の甲殻,3,雷光虫,5
キリングローブ,0,2,3,1,3,6,13,78,-1,-1,5,1,3,属性耐性,3,運気,-2,属性攻撃,2,,,,,キリンの皮,5,キリンのたてがみ,2,怪鳥の甲殻,3,雷光虫,5
ナルガアーム,0,1,3,2,99,5,22,124,-2,1,-4,1,1,痛撃,1,回避性能,2,スタミナ,-2,回避距離,1,,,迅竜の刃翼,3,上竜骨,5,垂皮竜の皮,5,,
ナルガガード,0,2,3,2,99,5,11,77,-1,2,-3,2,2,痛撃,1,回避性能,2,スタミナ,-2,回避距離,1,,,迅竜の刃翼,3,上竜骨,5,垂皮竜の皮,5,,
ガンキンアーム,0,1,3,1,99,5,24,126,2,-4,1,-1,-2,防御,4,スタミナ,-1,減気攻撃,3,,,,,爆鎚竜の骨髄,1,爆鎚竜の耐熱殻,1,紅蓮石,1,,
ガンキンガード,0,2,3,1,99,5,12,78,3,-3,2,0,-1,防御,3,スタミナ,-1,通常弾強化,3,,,,,爆鎚竜の骨髄,1,爆鎚竜の耐熱殻,1,紅蓮石,1,,
ドボルアーム,0,1,3,1,99,6,24,126,-4,2,1,-2,1,攻撃,3,達人,-1,回復速度,2,,,,,尾槌竜の苔甲,4,竜骨【大】,3,草食竜の甲殻,3,,
ドボルガード,0,2,3,1,99,6,12,78,-3,3,2,-1,2,攻撃,3,達人,-1,回復速度,2,,,,,尾槌竜の苔甲,4,竜骨【大】,3,草食竜の甲殻,3,,
ラヴァアーム,0,1,3,0,99,6,23,125,2,-3,0,0,1,ガード性能,2,千里眼,2,回復速度,3,気配,-2,,,溶岩竜の鱗,3,上竜骨,3,レビテライト鉱石,2,,
ラヴァガード,0,2,3,0,99,6,12,78,3,-2,1,1,2,反動,2,千里眼,2,回復速度,3,気配,-2,,,溶岩竜の鱗,3,上竜骨,3,レビテライト鉱石,2,,
ディアブロアーム,0,1,3,0,99,6,23,125,2,0,0,-4,0,抜刀会心,3,研ぎ師,-2,納刀,3,食事,3,耐震,3,上質なねじれた角,1,上竜骨,1,草食竜の甲殻,3,,
ディアブロガード,0,2,3,0,99,6,12,78,3,1,1,-3,1,反動,3,納刀,5,貫通弾強化,4,精密射撃,-2,,,上質なねじれた角,1,上竜骨,1,草食竜の甲殻,3,,
暁丸【篭手】,1,1,3,1,99,6,26,126,-2,2,0,2,-4,剣術,3,スタミナ,-2,重撃,4,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
曙丸【篭手】,1,2,3,1,99,6,13,78,-1,3,1,3,-3,スタミナ,-2,重撃,4,装填数,3,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
凛【篭手】,2,1,3,1,99,6,26,126,-2,2,0,2,-4,剣術,3,スタミナ,-2,重撃,4,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
艶【篭手】,2,2,3,1,99,6,13,78,-1,3,1,3,-3,スタミナ,-2,重撃,4,装填数,3,加護,1,,,老山龍の甲殻,3,老山龍の大爪,1,火竜の翼膜,2,,
アーティアアーム,0,1,3,1,3,5,20,122,0,-3,-3,1,2,ガード強化,1,研ぎ師,-5,気力回復,5,,,,,さびた破片,4,レビテライト鉱石,3,大地の結晶,10,,
アーティアガード,0,2,3,1,3,5,10,76,1,-2,-2,2,3,装填速度,-5,反動,5,精密射撃,1,,,,,さびた破片,4,レビテライト鉱石,3,大地の結晶,10,,
インゴットアーム,0,1,3,1,3,5,18,120,-2,-2,2,0,0,ガード強化,1,納刀,3,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,1,ドラグライト鉱石,4,鉄鉱石,8,マカライト鉱石,5
インゴットガード,0,2,3,1,3,5,8,74,-1,-1,3,1,1,反動,2,散弾強化,2,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,1,ドラグライト鉱石,4,鉄鉱石,8,マカライト鉱石,5
クンチュウＳアーム,0,1,4,2,4,7,31,117,3,3,3,3,3,防御,6,雷耐性,-2,,,,,,,盾虫の堅殻,5,盾虫の甲殻,4,モンスターの濃汁,2,ドスヘラクレス,1
クンチュウＳガード,0,2,4,2,4,7,15,76,4,4,4,4,4,防御,6,雷耐性,-2,,,,,,,盾虫の堅殻,5,盾虫の甲殻,4,モンスターの濃汁,2,ドスヘラクレス,1
ブナハＳグローブ,0,1,4,0,4,7,33,116,-5,-1,2,-1,3,攻撃,-2,特殊攻撃,2,納刀,3,麻痺,1,,,飛甲虫の堅殻,2,飛甲虫の羽,4,上質な腹袋,2,モンスターの体液,3
ブナハＳカフス,0,2,4,0,4,7,16,76,-4,0,3,0,4,攻撃,-2,特殊攻撃,2,納刀,3,麻痺,1,,,飛甲虫の堅殻,2,飛甲虫の羽,4,上質な腹袋,2,モンスターの体液,3
リノプロＳアーム,0,1,4,1,4,7,31,117,2,-1,-1,-1,1,砲術,3,KO,2,気絶,-1,耐泥耐雪,3,,,草食竜の堅殻,3,竜骨【中】,4,氷結晶,3,,
リノプロＳガード,0,2,4,2,4,7,15,76,3,0,0,0,2,砲術,2,KO,2,気絶,-1,耐泥耐雪,1,,,草食竜の堅殻,3,竜骨【中】,4,氷結晶,3,,
ガブラスーツＳグラブ,0,1,4,2,5,99,40,117,2,-3,3,2,-4,属性解放,2,属性耐性,-1,減気攻撃,1,,,,,翼蛇竜の上皮,1,縞模様の皮,4,火竜の翼爪,5,ガマのコイン,1
ガブラスーツＳハンド,0,2,4,2,5,99,20,77,3,-2,4,3,-3,属性解放,2,属性耐性,-1,減気攻撃,1,,,,,翼蛇竜の上皮,1,縞模様の皮,4,火竜の翼爪,5,ガマのコイン,1
ジャギィＳアーム,0,1,4,1,4,7,36,117,-4,0,0,0,2,攻撃,2,研ぎ師,3,効果持続,-2,気絶,1,,,狗竜の尖爪,4,王者のエリマキ,1,鳥竜玉,1,ドラグライト鉱石,2
ジャギィＳガード,0,2,4,1,4,7,18,77,-3,1,1,1,3,装填速度,2,攻撃,2,効果持続,-2,気絶,1,,,狗竜の尖爪,4,王者のエリマキ,1,鳥竜玉,1,ドラグライト鉱石,2
ゲネポスＳアーム,0,1,4,1,4,7,36,117,1,1,-3,-5,3,特殊攻撃,4,回復速度,-2,麻痺,1,,,,,ゲネポスの上鱗,3,ゲネポスの上皮,4,鳥竜玉,1,カブレライト鉱石,2
ゲネポスＳガード,0,2,4,1,4,7,18,77,2,2,-2,-4,4,特殊攻撃,4,回復速度,-2,麻痺,1,,,,,ゲネポスの上鱗,3,ゲネポスの上皮,4,鳥竜玉,1,カブレライト鉱石,2
イーオスＳアーム,0,1,4,1,5,8,44,119,0,-4,-4,3,3,属性解放,1,特殊攻撃,4,毒,1,気絶,-2,,,イーオスの上鱗,3,イーオスの上皮,2,紅蓮石,1,ドスイーオスの皮,3
イーオスＳガード,0,2,4,1,5,8,22,78,1,-3,-3,4,4,属性解放,1,特殊攻撃,4,毒,1,気絶,-2,,,イーオスの上鱗,3,イーオスの上皮,2,紅蓮石,1,ドスイーオスの皮,3
ウルクＳアーム,0,1,4,1,5,8,45,120,-3,2,-1,2,2,回避距離,2,効果持続,4,耐暑,-2,耐寒,3,,,白兎獣の凍爪,2,白兎獣の毛,3,白兎獣の堅腹甲,3,マレコガネ,2
ウルクＳガード,0,2,4,1,5,8,22,78,-2,3,0,3,3,回避距離,2,効果持続,3,耐暑,-2,耐寒,3,,,白兎獣の凍爪,2,白兎獣の毛,3,白兎獣の堅腹甲,3,マレコガネ,2
ケチャＳアーム,0,1,4,1,4,7,43,118,-5,3,-3,0,3,運気,-3,水属性攻撃,3,体術,3,気まぐれ,1,,,奇猿狐の剛毛,3,奇猿狐の鉤爪,1,奇猿狐の長骨,3,盾虫の堅殻,2
ケチャＳガード,0,2,4,1,4,7,21,78,-4,4,-2,1,4,運気,-3,水属性攻撃,3,体術,3,気まぐれ,1,,,奇猿狐の剛毛,3,奇猿狐の鉤爪,1,奇猿狐の長骨,3,盾虫の堅殻,2
コンガＳアーム,0,1,4,1,4,7,38,117,-4,1,1,-1,3,細菌学,2,特殊攻撃,3,食いしん坊,1,腹減り,-2,,,桃毛獣の剛毛,2,とがった爪,4,コンガの剛毛,4,ドスヘラクレス,2
コンガＳガード,0,2,4,1,4,7,19,77,-3,2,2,0,4,細菌学,2,特殊攻撃,3,食いしん坊,1,腹減り,-2,,,桃毛獣の剛毛,2,とがった爪,4,コンガの剛毛,4,ドスヘラクレス,2
