#名前,レア度,スロット,入手時期／HR,入手時期／村☆,スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材A1,個数,生産素材A2,個数,生産素材A3,個数,生産素材A4,個数,生産素材B1,個数,生産素材B2,個数,生産素材B3,個数,生産素材B4,個数
強走珠【１】,4,1,4,3,スタミナ,1,腹減り,-1,陽翔原珠,1,水獣の爪,1,強走薬グレート,2,,,修羅原珠,1,ゴム質の紫皮,2,,,,
強走珠【３】,6,3,6,9,スタミナ,4,腹減り,-2,瑠璃原珠,1,黒狼鳥の上鱗,1,毒怪鳥の紫翼,2,,,,,,,,,,
体術珠【１】,4,1,3,5,体術,1,スタミナ,-1,陽翔原珠,1,尖ったクチバシ,1,イーオスの鱗,2,,,修羅原珠,1,氷牙竜の上毛皮,2,,,,
体術珠【２】,5,2,6,9,体術,3,スタミナ,-1,瑠璃原珠,1,黒鎧竜の堅殻,1,イーオスの上皮,2,,,,,,,,,,
早気珠【１】,4,1,3,5,気力回復,1,回避性能,-1,陽翔原珠,1,雷狼竜の甲殻,1,竜骨【中】,2,,,修羅原珠,1,草食竜の堅殻,2,旅団チケット,1,,
早気珠【２】,5,2,5,8,気力回復,3,回避性能,-1,修羅原珠,1,雷狼竜の尖爪,1,尖竜骨,2,,,,,,,,,,
無食珠【１】,4,1,1,2,腹減り,2,,,水光原珠,1,徹甲虫の角,1,こんがり肉,1,,,,,,,,,,
食漢珠【１】,4,1,1,3,食いしん坊,2,,,水光原珠,1,大きな骨,1,,,,,,,,,,,,
運気珠【１】,4,1,4,7,運気,1,気まぐれ,-1,修羅原珠,1,鳥竜玉,1,銀のたまご,2,,,,,,,,,,
運気珠【３】,6,3,8,99,運気,4,気まぐれ,-2,金剛原珠,1,金火竜の上棘,2,金のたまご,2,,,,,,,,,,
捕獲珠【１】,4,1,4,7,捕獲,1,運気,-1,修羅原珠,1,勇気の証,1,雷狼竜の帯電毛,1,,,,,,,,,,
捕獲珠【３】,6,3,8,99,捕獲,4,運気,-2,金剛原珠,1,勇気の証Ｇ,2,雷狼竜の逆鱗,1,,,,,,,,,,
皮剥珠【１】,4,1,7,9,剥ぎ取り,1,運気,-1,修羅原珠,1,恐暴竜の黒皮,1,,,,,,,,,,,,
皮剥珠【３】,6,3,8,99,剥ぎ取り,4,運気,-2,金剛原珠,1,蛇王龍の鋼皮,1,大地の龍玉,1,,,,,,,,,,
運搬珠【１】,4,1,1,3,運搬,2,,,水光原珠,1,狂走エキス,1,,,,,,,,,,,,
採取珠【１】,4,1,99,4,採取,2,,,水光原珠,1,ペピポパンプキン,2,,,,,,,,,,,,
速集珠【１】,4,1,99,4,高速収集,2,,,水光原珠,1,ペピポパンプキン,1,竜骨【小】,2,,,,,,,,,,
祝福珠【１】,4,1,1,1,気まぐれ,2,,,水光原珠,1,鉄鉱石,2,,,,,,,,,,,,
友愛珠【１】,4,1,1,2,広域,1,気配,-1,水光原珠,1,怪鳥の翼膜,1,,,,,陽翔原珠,1,オトモチケット,1,小金魚,2,,
友愛珠【２】,5,2,4,7,広域,3,気配,-1,修羅原珠,1,青怪鳥の堅殻,1,生命の粉塵,2,,,,,,,,,,
千里珠【１】,4,1,99,3,千里眼,2,,,水光原珠,1,極彩色の羽根,1,,,,,,,,,,,,
博士珠【１】,4,1,1,2,調合成功率,2,,,水光原珠,1,調合書①入門編,1,丸鳥の羽,1,,,,,,,,,,
弾製珠【１】,4,1,1,1,調合数,2,,,水光原珠,1,小金魚,1,,,,,,,,,,,,
持続珠【１】,4,1,3,5,効果持続,2,,,水光原珠,1,翼蛇竜の皮,1,,,,,,,,,,,,
観察珠【１】,4,1,2,3,観察眼,2,,,水光原珠,1,垂皮竜の皮,1,双眼鏡,1,,,,,,,,,,
狩人珠【１】,4,1,1,1,狩人,2,,,水光原珠,1,サシミウオ,1,生肉,2,,,,,,,,,,
忍脚珠【１】,4,1,1,1,気配,2,,,水光原珠,1,ケルビの蒼角,2,,,,,,,,,,,,
匠珠【２】,5,2,6,99,匠,1,斬れ味,-1,陽翔原珠,1,荒々しい龍角,1,炎戈竜の堅殻,2,,,修羅原珠,1,恐暴竜の鉤爪,2,,,,
匠珠【３】,6,3,8,99,匠,2,斬れ味,-2,瑠璃原珠,1,蛇王龍の鉤爪,1,恐暴竜の宝玉,1,,,,,,,,,,
名匠珠【３】,8,3,10,99,匠,3,斬れ味,-2,明王原珠,1,火竜の剛翼,2,大竜玉,1,,,,,,,,,,
剣豪珠【１】,4,1,7,10,剣術,1,匠,-1,陽翔原珠,1,古龍の血,1,,,,,修羅原珠,1,銀火竜の堅殻,2,黒鎧竜の堅殻,1,,
剣豪珠【３】,6,3,8,99,剣術,4,匠,-2,瑠璃原珠,1,崩竜の堅殻,2,轟竜のアギト,1,,,,,,,,,,
斬鉄珠【１】,4,1,3,5,斬れ味,1,匠,-1,陽翔原珠,1,岩竜の翼,1,雷狼竜の甲殻,1,,,修羅原珠,1,雌火竜の逆鱗,1,,,,
斬鉄珠【３】,6,3,5,99,斬れ味,4,匠,-2,瑠璃原珠,1,桃岩竜の翼,1,アルビノの中落ち,1,,,,,,,,,,
抜刀珠【１】,4,1,99,6,抜刀会心,1,達人,-1,陽翔原珠,1,角竜の甲殻,2,雷狼竜の角,1,,,修羅原珠,1,爆鎚竜の耐熱殻,2,,,,
抜刀珠【２】,5,2,6,99,抜刀会心,3,達人,-1,瑠璃原珠,1,砕竜の堅黒曜甲,1,桃岩竜の堅殻,1,,,,,,,,,,
抜打珠【１】,4,1,8,5,抜刀減気,1,斬れ味,-1,陽翔原珠,1,爆鎚竜の耐熱殻,1,上竜骨,2,,,修羅原珠,1,大轟竜の上鱗,2,,,,
抜打珠【３】,6,3,6,9,抜刀減気,4,斬れ味,-2,瑠璃原珠,1,獄狼竜の尖角,1,化け鮫の上皮,1,,,,,,,,,,
鉄壁珠【１】,4,1,99,4,ガード性能,1,体術,-1,陽翔原珠,1,土砂竜の甲殻,2,,,,,,,,,,,,
鉄壁珠【２】,5,2,6,99,ガード性能,3,体術,-1,陽翔原珠,1,炎戈竜の上ヒレ,1,炎戈竜の堅殻,3,,,修羅原珠,1,桃岩竜の翼,2,,,,
強壁珠【１】,4,1,3,5,ガード強化,1,スタミナ,-1,陽翔原珠,1,紅蓮石,2,,,,,,,,,,,,
強壁珠【２】,5,2,6,9,ガード強化,3,スタミナ,-1,修羅原珠,1,砕竜の堅黒曜甲,1,獄炎石,3,,,,,,,,,,
研磨珠【１】,4,1,1,2,研ぎ師,2,,,水光原珠,1,狗竜の爪,1,マカライト鉱石,1,,,,,,,,,,
強弾珠【１】,4,1,3,5,通常弾強化,1,反動,-1,陽翔原珠,1,上竜骨,2,はじけイワシ,5,,,,,,,,,,
強弾珠【３】,6,3,5,99,通常弾強化,4,反動,-2,瑠璃原珠,1,桃岩竜の堅殻,2,尖竜骨,2,,,,,,,,,,
貫通珠【１】,4,1,4,7,貫通弾強化,1,反動,-1,陽翔原珠,1,厳めしい頭骨,1,ドスヘラクレス,2,,,,,,,,,,
貫通珠【３】,6,3,6,9,貫通弾強化,4,反動,-2,瑠璃原珠,1,黒鎧竜の頭殻,1,マレコガネ,2,,,,,,,,,,
散弾珠【１】,4,1,2,3,散弾強化,1,反動,-1,陽翔原珠,1,氷結晶,3,竜の牙,5,,,,,,,,,,
散弾珠【３】,6,3,6,9,散弾強化,4,反動,-2,瑠璃原珠,1,黒鎧竜の堅殻,1,ユニオン鉱石,2,,,,,,,,,,
加弾珠【１】,4,1,1,3,通常弾追加,1,装填速度,-1,水光原珠,1,竜骨【中】,2,,,,,,,,,,,,
加弾珠【２】,5,2,3,5,通常弾追加,3,装填速度,-1,陽翔原珠,1,上竜骨,2,イチノタチウオ,2,,,修羅原珠,1,上質な鳥竜骨,2,堅牢な骨,1,,
加貫珠【１】,4,1,2,4,貫通弾追加,2,,,陽翔原珠,1,ドラグライト鉱石,2,,,,,,,,,,,,
加散珠【１】,4,1,99,5,散弾追加,2,,,陽翔原珠,1,潜口竜の皮,2,,,,,,,,,,,,
加榴珠【１】,4,1,3,5,榴弾追加,2,,,陽翔原珠,1,火竜の甲殻,2,,,,,,,,,,,,
加拡珠【１】,4,1,99,5,拡散弾追加,1,装填速度,-1,陽翔原珠,1,爆鎚竜の耐熱殻,2,,,,,,,,,,,,
加斬珠【１】,4,1,2,4,斬裂弾追加,2,,,水光原珠,1,白兎獣の毛,2,,,,,,,,,,,,
加爆珠【１】,4,1,4,7,爆破弾追加,2,,,修羅原珠,1,砕竜の黒曜甲,2,火薬草,4,,,,,,,,,,
速射珠【１】,4,1,3,5,速射,1,装填速度,-1,陽翔原珠,1,轟竜の牙,2,雷狼竜の爪,2,,,修羅原珠,1,火竜の延髄,2,,,,
速射珠【３】,6,3,8,99,速射,4,装填速度,-2,瑠璃原珠,1,崩竜の削顎,2,火竜の逆鱗,1,,,,,,,,,,
早填珠【１】,4,1,4,7,装填速度,1,反動,-1,陽翔原珠,1,カブレライト鉱石,3,,,,,,,,,,,,
早填珠【２】,5,2,5,5,装填速度,3,反動,-1,陽翔原珠,1,迅竜の刃翼,2,ライトクリスタル,2,,,修羅原珠,1,魅惑色の翼膜,2,,,,
抑反珠【１】,4,1,4,4,反動,1,装填速度,-1,陽翔原珠,1,土砂竜の頭殻,1,水獣の爪,1,,,修羅原珠,1,鬼蛙の堅殻,2,,,,
抑反珠【３】,6,3,6,9,反動,4,装填速度,-2,瑠璃原珠,1,化け鮫の上皮,2,黒鎧竜の堅殻,2,,,,,,,,,,
射法珠【１】,9,1,12,99,射法,1,装填数,-1,金剛原珠,1,超重質龍骨油,1,重甲虫の重殻,2,,,,,,,,,,
射法珠【２】,9,2,12,99,射法,3,装填数,-1,明王原珠,1,巨戟龍の戦爪,1,鎧竜の剛翼,3,,,,,,,,,,
点射珠【１】,4,1,1,1,精密射撃,2,,,水光原珠,1,なぞの頭骨,2,,,,,,,,,,,,
痺瓶珠【１】,4,1,2,3,麻痺瓶追加,1,攻撃,-1,陽翔原珠,1,麻痺袋,1,,,,,,,,,,,,
痺瓶珠【２】,5,2,5,8,麻痺瓶追加,3,攻撃,-1,修羅原珠,1,魅惑色の柔皮,1,麻痺袋,1,,,,,,,,,,
眠瓶珠【１】,4,1,2,4,睡眠瓶追加,2,,,陽翔原珠,1,睡眠袋,1,,,,,,,,,,,,
毒瓶珠【１】,4,1,2,3,毒瓶追加,2,,,陽翔原珠,1,毒袋,1,,,,,,,,,,,,
強瓶珠【１】,4,1,2,3,強撃瓶追加,1,達人,-1,陽翔原珠,1,徹甲虫の甲殻,1,ニトロダケ,5,,,,,,,,,,
強瓶珠【２】,5,2,4,7,強撃瓶追加,3,達人,-1,修羅原珠,1,徹甲虫の堅殻,1,爆鎚竜の骨髄,1,,,,,,,,,,
接瓶珠【１】,4,1,99,3,接撃瓶追加,2,,,陽翔原珠,1,水獣の爪,1,海綿質の皮,1,,,,,,,,,,
爆瓶珠【１】,4,1,6,9,爆破瓶追加,2,,,修羅原珠,1,砕竜の堅殻,2,なぞの粘菌,1,,,,,,,,,,
減瓶珠【１】,4,1,2,4,減気瓶追加,2,,,陽翔原珠,1,シンドイワシ,2,竜骨【大】,1,,,,,,,,,,
燃焼珠【１】,4,1,6,99,燃鱗,2,,,陽翔原珠,1,なぞの粘菌,2,炎戈竜の堅殻,2,,,,,,,,,,
解放珠【２】,5,2,8,99,属性解放,1,特殊攻撃,-1,金剛原珠,1,キリンの上皮,1,キリンの氷角,1,,,,,,,,,,
覚醒珠【３】,6,3,8,99,属性解放,2,特殊攻撃,-2,金剛原珠,1,キリンの霜尾,2,キリンの蒼角,1,,,,,,,,,,
真覚醒珠【３】,8,3,10,99,属性解放,3,特殊攻撃,-2,明王原珠,1,重甲虫の断月尾,2,大竜玉,1,,,,,,,,,,
根性珠【１】,4,1,8,99,根性,1,調合成功率,-1,金剛原珠,1,金獅子の黒毛,2,金獅子の鋭牙,1,,,,,,,,,,
根性珠【２】,5,2,8,99,根性,3,調合成功率,-1,金剛原珠,1,金獅子の闘魂,1,金獅子の尖角,3,,,,,,,,,,
