#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ガララレジスト,0,2,2,1,2,4,10,76,2,-1,1,-3,2,捕獲,1,聴覚保護,2,気まぐれ,-2,麻痺,2,,,絞蛇竜の鳴甲,2,絞蛇竜の皮,3,絞蛇竜の甲殻,3,ゲネポスの皮,3
フルフルメイル,0,1,2,2,2,4,19,121,-4,1,1,2,1,雷属性攻撃,2,回復量,1,気絶,-2,,,,,ブヨブヨした皮,2,鉄鉱石,8,とがった爪,2,モンスターの体液,2
フルフルレジスト,0,2,2,2,2,4,10,76,-3,2,2,3,2,雷属性攻撃,2,回復量,1,気絶,-2,,,,,ブヨブヨした皮,2,鉄鉱石,8,とがった爪,2,モンスターの体液,2
レイアメイル,0,1,2,0,2,4,19,121,2,0,-2,0,-3,体力,4,火属性攻撃,2,回復速度,-2,,,,,雌火竜の鱗,4,雌火竜の翼膜,3,火竜の骨髄,1,マカライト鉱石,5
レイアレジスト,0,2,2,0,2,4,10,76,3,1,-1,1,-2,体力,4,火属性攻撃,2,回復速度,-2,,,,,雌火竜の鱗,4,雌火竜の翼膜,3,火竜の骨髄,1,マカライト鉱石,5
ランポスメイル,0,1,2,0,1,2,13,117,0,0,0,-4,2,攻撃,2,千里眼,3,麻痺,-2,気絶,2,,,ドスランポスの爪,2,鳴き袋,2,ランポスの皮,3,のりこねバッタ,2
ランポスレジスト,0,2,2,0,1,2,7,74,1,1,1,-3,3,攻撃,2,千里眼,3,麻痺,-2,気絶,2,,,ドスランポスの爪,2,鳴き袋,2,ランポスの皮,3,のりこねバッタ,2
クックメイル,0,1,2,1,1,2,16,118,2,-1,-2,-3,2,攻撃,2,火属性攻撃,3,水耐性,-2,,,,,怪鳥の鱗,2,怪鳥の甲殻,3,怪鳥の翼膜,1,竜骨【小】,3
クックレジスト,0,2,2,1,1,2,8,74,3,0,-1,-2,3,攻撃,2,火属性攻撃,3,水耐性,-2,,,,,怪鳥の鱗,2,怪鳥の甲殻,3,怪鳥の翼膜,1,竜骨【小】,3
バサルメイル,0,1,2,0,2,3,18,120,0,-2,1,1,-3,耐暑,2,毒,1,麻痺,-1,睡眠,4,,,岩竜の甲殻,5,マカライト鉱石,7,毒袋,3,岩竜の翼,1
バサルレジスト,0,2,2,0,2,3,9,75,1,-1,2,2,-2,耐暑,2,毒,1,麻痺,-1,睡眠,4,,,岩竜の甲殻,5,マカライト鉱石,7,毒袋,3,岩竜の翼,1
アシラメイル,0,1,2,1,99,3,13,117,-2,1,0,-1,1,高速収集,2,食いしん坊,2,腹減り,-1,ハチミツ,1,,,青熊獣の毛,3,青熊獣の甲殻,1,光蟲,2,,
アシラレジスト,0,2,2,1,99,3,7,74,-1,2,1,0,2,高速収集,2,食いしん坊,2,腹減り,-1,ハチミツ,1,,,青熊獣の毛,3,青熊獣の甲殻,1,光蟲,2,,
ルドロスメイル,0,1,2,1,99,3,15,117,-3,2,-1,-1,1,スタミナ,2,水属性攻撃,2,雷耐性,-2,耐暑,2,,,海綿質の皮,2,水獣の爪,1,ランポスの皮,3,大地の結晶,3
ルドロスレジスト,0,2,2,1,99,3,7,74,-2,3,0,0,2,スタミナ,2,水属性攻撃,2,雷耐性,-2,耐暑,2,,,海綿質の皮,2,水獣の爪,1,ランポスの皮,3,大地の結晶,3
ボロスメイル,0,1,2,0,99,4,18,120,-4,4,1,-2,0,攻撃,1,防御,3,ガード性能,2,腹減り,-2,,,土砂竜の頭殻,1,土砂竜の甲殻,2,キラビートル,2,,
ボロスレジスト,0,2,2,0,99,4,8,74,-3,5,2,-1,1,攻撃,1,防御,3,精密射撃,2,腹減り,-2,,,土砂竜の頭殻,1,土砂竜の甲殻,2,キラビートル,2,,
ハプルメイル,0,1,2,1,99,5,21,123,2,0,-2,-4,1,納刀,1,食事,2,,,,,,,潜口竜の皮,4,モンスターの体液,1,竜骨【大】,3,,
ハプルレジスト,0,2,2,1,99,5,10,76,3,1,-1,-3,2,納刀,1,食事,1,,,,,,,潜口竜の皮,4,モンスターの体液,1,竜骨【大】,3,,
ギザミメイル,0,1,2,0,99,5,21,123,1,2,-1,-1,0,斬れ味,2,研ぎ師,1,,,,,,,鎌蟹の甲殻,2,大地の結晶,4,キラビートル,1,,
ギザミレジスト,0,2,2,2,99,5,10,76,2,3,0,0,1,防御,-1,貫通弾追加,1,精密射撃,3,,,,,鎌蟹の甲殻,2,大地の結晶,4,キラビートル,1,,
ハイメタメイル,0,1,2,0,2,4,14,116,-2,-2,3,-1,0,砲術,2,体力,4,スタミナ,-2,,,,,ドラグライト鉱石,2,マカライト鉱石,4,鉄鉱石,3,ランポスの皮,2
ハイメタレジスト,0,2,2,0,2,4,7,74,-1,-1,4,0,1,砲術,2,体力,4,スタミナ,-2,,,,,ドラグライト鉱石,2,マカライト鉱石,4,鉄鉱石,3,ランポスの皮,2
バトルメイル,0,1,2,0,3,5,14,116,2,-2,-2,-1,0,攻撃,1,聴覚保護,-2,ガード性能,2,研ぎ師,4,,,翼蛇竜の皮,2,暖かい毛皮,2,ゲネポスの鱗,5,大地の結晶,3
バトルレジスト,0,2,2,0,3,5,7,74,3,-1,-1,0,1,装填速度,4,攻撃,1,聴覚保護,-2,ガード強化,2,,,翼蛇竜の皮,2,暖かい毛皮,2,ゲネポスの鱗,5,大地の結晶,3
ゴアメイル,0,1,3,0,3,5,21,123,-4,2,-3,1,-2,細菌学,2,匠,2,闘魂,2,火耐性,-3,,,黒蝕竜の鱗,3,黒蝕竜の暗翼,2,黒蝕竜の甲殻,3,黒蝕竜の尻尾,1
ゴアレジスト,0,2,3,0,3,5,11,77,-3,3,-2,2,-1,細菌学,2,闘魂,2,装填数,2,火耐性,-3,,,黒蝕竜の鱗,3,黒蝕竜の暗翼,2,黒蝕竜の甲殻,3,黒蝕竜の尻尾,1
レウスメイル,0,1,3,0,3,5,23,125,2,0,-2,0,-3,攻撃,2,火属性攻撃,2,回復量,-2,,,,,火竜の甲殻,2,火竜の鱗,4,火竜の翼膜,3,ドラグライト鉱石,3
レウスレジスト,0,2,3,0,3,5,12,78,3,1,-1,1,-2,攻撃,2,火属性攻撃,1,回復量,-2,,,,,火竜の甲殻,2,火竜の鱗,4,火竜の翼膜,3,ドラグライト鉱石,3
レックスメイル,0,1,3,2,3,5,22,124,2,-1,-4,0,-2,攻撃,2,研ぎ師,-2,食いしん坊,1,,,,,轟竜の爪,5,轟竜の甲殻,3,轟竜の尻尾,1,肉厚な皮,6
レックスレジスト,0,2,3,2,3,5,11,77,3,0,-3,1,-1,反動,-2,攻撃,2,食いしん坊,1,,,,,轟竜の爪,5,轟竜の甲殻,3,轟竜の尻尾,1,肉厚な皮,6
ジンオウメイル,0,1,3,0,3,5,21,123,0,-2,2,-4,1,本気,3,雷属性攻撃,1,気配,-2,,,,,雷狼竜の帯電毛,1,雷狼竜の甲殻,2,雷狼竜の蓄電殻,2,雷光虫,10
ジンオウレジスト,0,2,3,0,3,5,10,76,1,-1,3,-3,2,本気,3,雷属性攻撃,1,気配,-2,,,,,雷狼竜の帯電毛,1,雷狼竜の甲殻,2,雷狼竜の蓄電殻,2,雷光虫,10
セルタスメイル,0,1,3,1,3,5,21,123,-3,2,-1,-2,2,砲術,3,斬れ味,2,気力回復,-2,,,,,重甲虫の胸殻,4,重甲虫の円月尾,3,重甲虫の甲殻,2,甲虫の腹袋,4
セルタスレジスト,0,2,3,1,3,5,10,76,-2,3,0,-1,3,砲術,3,榴弾追加,2,気力回復,-2,,,,,重甲虫の胸殻,4,重甲虫の円月尾,3,重甲虫の甲殻,2,甲虫の腹袋,4
グラビドメイル,0,1,3,2,3,5,23,125,2,-3,0,1,-2,防御,2,ガード性能,1,スタミナ,-1,,,,,鎧竜の甲殻,5,鎧竜の翼,3,上竜骨,3,ドスイーオスの皮,2
グラビドレジスト,0,2,3,2,3,5,12,78,3,-2,1,2,-1,反動,1,防御,2,スタミナ,-1,,,,,鎧竜の甲殻,5,鎧竜の翼,3,上竜骨,3,ドスイーオスの皮,2
ブラキメイル,0,1,3,1,3,6,22,124,2,-4,0,-2,0,闘魂,3,回避性能,-2,爆弾強化,2,,,,,砕竜の甲殻,4,砕竜の黒曜甲,3,ライトクリスタル,4,鎧竜の翼,2
ブラキレジスト,0,2,3,1,3,6,11,77,3,-3,1,-1,1,闘魂,3,回避性能,-2,爆弾強化,2,,,,,砕竜の甲殻,4,砕竜の黒曜甲,3,ライトクリスタル,4,鎧竜の翼,2
残陽【胴当て】,1,1,3,1,4,6,26,126,2,1,-3,2,-3,抜刀減気,1,達人,2,底力,-3,スタミナ,2,,,豪山龍の甲岩殻,6,荒々しい龍角,4,豪龍岩,2,とがった牙,5
東雲【胴当て】,1,2,3,1,4,6,13,78,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,1,貫通弾強化,2,,,豪山龍の甲岩殻,6,荒々しい龍角,4,豪龍岩,2,とがった牙,5
常磐【胸当て】,2,1,3,1,4,6,26,126,2,1,-3,2,-3,抜刀減気,1,達人,2,底力,-3,スタミナ,2,,,豪山龍の甲岩殻,6,荒々しい龍角,4,豪龍岩,2,とがった牙,5
八千代【胸当て】,2,2,3,1,4,6,13,78,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,1,貫通弾強化,2,,,豪山龍の甲岩殻,6,荒々しい龍角,4,豪龍岩,2,とがった牙,5
アークメイル,1,1,3,1,7,6,24,126,-3,3,0,1,-5,本気,2,火耐性,-3,狂撃耐性,2,,,,,天廻龍の鱗,3,天廻龍の虹翼,2,天廻龍の甲殻,3,天廻龍の尻尾,1
アークレジスト,1,2,3,1,7,6,12,78,-2,4,1,2,-4,本気,2,火耐性,-3,狂撃耐性,2,,,,,天廻龍の鱗,3,天廻龍の虹翼,2,天廻龍の甲殻,3,天廻龍の尻尾,1
フィリアメイル,2,1,3,1,7,6,24,126,-3,3,0,1,-5,本気,2,火耐性,-3,狂撃耐性,2,,,,,天廻龍の鱗,3,天廻龍の虹翼,2,天廻龍の甲殻,3,天廻龍の尻尾,1
フィリアレジスト,2,2,3,1,7,6,12,78,-2,4,1,2,-4,本気,2,火耐性,-3,狂撃耐性,2,,,,,天廻龍の鱗,3,天廻龍の虹翼,2,天廻龍の甲殻,3,天廻龍の尻尾,1
ガルルガメイル,0,1,3,1,3,5,24,126,1,-3,1,-2,0,剣術,-1,達人,1,聴覚保護,4,,,,,黒狼鳥の鱗,4,黒狼鳥の甲殻,5,黒狼鳥の翼,3,ドスゲネポスの皮,2
ガルルガレジスト,0,2,3,1,3,5,12,78,2,-2,2,-1,1,達人,1,聴覚保護,4,スタミナ,-1,,,,,黒狼鳥の鱗,4,黒狼鳥の甲殻,5,黒狼鳥の翼,3,ドスゲネポスの皮,2
キリンベスト,0,1,3,1,3,6,26,126,-2,-2,4,0,2,属性耐性,2,運気,-2,属性攻撃,3,,,,,キリンの皮,3,ブヨブヨした皮,3,ゴム質の皮,2,ライトクリスタル,1
キリンケープ,0,2,3,1,3,6,13,78,-1,-1,5,1,3,属性耐性,2,運気,-2,属性攻撃,3,,,,,キリンの皮,3,ブヨブヨした皮,3,ゴム質の皮,2,ライトクリスタル,1
ナルガメイル,0,1,3,1,5,8,22,124,-2,1,-4,1,1,匠,1,回避性能,3,スタミナ,-2,回避距離,2,,,迅竜の黒毛,2,迅竜の骨髄,1,真珠色の柔皮,6,,
ナルガレジスト,0,2,3,1,5,8,11,77,-1,2,-3,2,2,回避性能,3,スタミナ,-2,回避距離,2,装填数,1,,,迅竜の黒毛,2,迅竜の骨髄,1,真珠色の柔皮,6,,
ガンキンメイル,0,1,3,1,99,5,24,126,2,-4,1,-1,-2,防御,2,スタミナ,-1,減気攻撃,2,,,,,爆鎚竜の耐熱殻,1,盾虫の甲殻,2,上竜骨,3,,
ガンキンレジスト,0,2,3,1,99,5,12,78,3,-3,2,0,-1,防御,2,スタミナ,-1,通常弾強化,2,,,,,爆鎚竜の耐熱殻,1,盾虫の甲殻,2,上竜骨,3,,
ドボルメイル,0,1,3,2,99,6,24,126,-4,2,1,-2,1,攻撃,1,達人,-1,回復速度,2,,,,,尾槌竜の角,2,上竜骨,2,暖かい毛皮,4,,
ドボルレジスト,0,2,3,2,99,6,12,78,-3,3,2,-1,2,攻撃,1,達人,-1,回復速度,2,,,,,尾槌竜の角,2,上竜骨,2,暖かい毛皮,4,,
ラヴァメイル,0,1,3,2,99,6,23,125,2,-3,0,0,1,ガード性能,2,回復速度,2,気配,-2,,,,,溶岩竜の鱗,2,溶岩竜のヒレ,3,火炎袋,2,,
ラヴァレジスト,0,2,3,2,99,6,12,78,3,-2,1,1,2,反動,2,回復速度,2,気配,-2,,,,,溶岩竜の鱗,2,溶岩竜のヒレ,3,火炎袋,2,,
ディアブロメイル,0,1,3,1,99,6,23,125,2,0,0,-4,0,匠,2,抜刀会心,2,研ぎ師,-2,納刀,1,耐震,2,上質なねじれた角,1,角竜の甲殻,3,垂皮竜の皮,3,,
ディアブロレジスト,0,2,3,1,99,6,12,78,3,1,1,-3,1,装填速度,3,納刀,1,装填数,2,貫通弾強化,1,精密射撃,-2,上質なねじれた角,1,角竜の甲殻,3,垂皮竜の皮,3,,
暁丸【胴当て】,1,1,3,1,99,6,26,126,-2,2,0,2,-4,剣術,1,スタミナ,-2,加護,3,,,,,老山龍の甲殻,4,紅蓮石,2,轟竜の頭殻,1,,
曙丸【胴当て】,1,2,3,1,99,6,13,78,-1,3,1,3,-3,スタミナ,-2,装填数,2,加護,3,,,,,老山龍の甲殻,4,紅蓮石,2,轟竜の頭殻,1,,
凛【胸当て】,2,1,3,1,99,6,26,126,-2,2,0,2,-4,剣術,1,スタミナ,-2,加護,3,,,,,老山龍の甲殻,4,紅蓮石,2,轟竜の頭殻,1,,
艶【胸当て】,2,2,3,1,99,6,13,78,-1,3,1,3,-3,スタミナ,-2,装填数,2,加護,3,,,,,老山龍の甲殻,4,紅蓮石,2,轟竜の頭殻,1,,
アーティアメイル,0,1,3,1,3,5,20,122,0,-3,-3,1,2,ガード強化,5,研ぎ師,-3,気力回復,1,,,,,さびた破片,5,紅蓮石,2,ドラグライト鉱石,4,,
アーティアレジスト,0,2,3,1,3,5,10,76,1,-2,-2,2,3,装填速度,-3,反動,1,精密射撃,5,,,,,さびた破片,5,紅蓮石,2,ドラグライト鉱石,4,,
インゴットメイル,0,1,3,1,3,5,18,120,-2,-2,2,0,0,ガード強化,1,納刀,1,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,1,ドラグライト鉱石,4,鉄鉱石,8,氷結晶,3
インゴットレジスト,0,2,3,1,3,5,8,74,-1,-1,3,1,1,反動,1,散弾強化,1,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,1,ドラグライト鉱石,4,鉄鉱石,8,氷結晶,3
ブナハＳスーツ,0,1,4,0,4,7,33,116,-5,-1,2,-1,3,攻撃,-2,特殊攻撃,2,納刀,2,麻痺,1,,,飛甲虫の堅殻,2,飛甲虫の甲殻,3,モンスターの濃汁,2,ドスヘラクレス,2
ブナハＳベスト,0,2,4,0,4,7,16,76,-4,0,3,0,4,攻撃,-2,特殊攻撃,1,納刀,3,麻痺,1,,,飛甲虫の堅殻,2,飛甲虫の甲殻,3,モンスターの濃汁,2,ドスヘラクレス,2
ズワロＳマント,0,1,4,0,4,7,36,117,-4,3,0,-2,2,体力,8,回復速度,3,,,,,,,垂皮竜の上皮,2,垂皮竜の皮,5,上質な毛皮,2,,
ズワロＳケープ,0,2,4,0,4,7,18,77,-3,4,1,-1,3,体力,8,回復速度,3,,,,,,,垂皮竜の上皮,2,垂皮竜の皮,5,上質な毛皮,2,,
リノプロＳメイル,0,1,4,1,4,7,31,117,2,-1,-1,-1,1,砲術,1,KO,1,気絶,-3,耐泥耐雪,2,,,草食竜の堅殻,1,草食竜の頭殻,1,カブレライト鉱石,2,,
リノプロＳレジスト,0,2,4,1,4,7,15,76,3,0,0,0,2,砲術,2,KO,1,気絶,-3,耐泥耐雪,2,,,草食竜の堅殻,1,草食竜の頭殻,1,カブレライト鉱石,2,,
ガブラスーツＳボディ,0,1,4,2,5,99,40,117,2,-3,3,2,-4,属性解放,2,属性耐性,-1,減気攻撃,2,,,,,翼蛇竜の上皮,3,翼蛇竜の皮,4,火竜の翼,2,ガマのコイン,1
ガブラスーツＳウェア,0,2,4,2,5,99,20,77,3,-2,4,3,-3,属性解放,2,属性耐性,-1,減気攻撃,2,,,,,翼蛇竜の上皮,3,翼蛇竜の皮,4,火竜の翼,2,ガマのコイン,1
ジャギィＳメイル,0,1,4,1,4,7,36,117,-4,0,0,0,2,攻撃,2,研ぎ師,1,効果持続,-2,気絶,2,,,狗竜の尖爪,4,狗竜の上皮,4,ジャギィの皮,3,カブレライト鉱石,2
ジャギィＳレジスト,0,2,4,1,4,7,18,77,-3,1,1,1,3,装填速度,1,攻撃,2,効果持続,-2,気絶,2,,,狗竜の尖爪,4,狗竜の上皮,4,ジャギィの皮,3,カブレライト鉱石,2
ゲネポスＳメイル,0,1,4,2,4,7,36,117,1,1,-3,-5,3,特殊攻撃,2,麻痺,1,,,,,,,ドスゲネポスの尾,2,ゲネポスの上鱗,2,麻痺袋,2,上質な腹袋,3
ゲネポスＳレジスト,0,2,4,2,4,7,18,77,2,2,-2,-4,4,特殊攻撃,2,麻痺,1,,,,,,,ドスゲネポスの尾,2,ゲネポスの上鱗,2,麻痺袋,2,上質な腹袋,3
イーオスＳメイル,0,1,4,2,5,8,44,119,0,-4,-4,3,3,特殊攻撃,2,毒,1,気絶,-2,,,,,イーオスの上鱗,2,イーオスの上皮,3,カブレライト鉱石,4,堅牢な骨,3
イーオスＳレジスト,0,2,4,2,5,8,22,78,1,-3,-3,4,4,特殊攻撃,2,毒,1,気絶,-2,,,,,イーオスの上鱗,2,イーオスの上皮,3,カブレライト鉱石,4,堅牢な骨,3
ウルクＳメイル,0,1,4,1,5,8,45,120,-3,2,-1,2,2,回避距離,2,効果持続,2,耐暑,-2,耐寒,2,,,白兎獣の堅腹甲,3,白兎獣の剛毛,3,ジャギィの上鱗,6,ドラグライト鉱石,4
ウルクＳレジスト,0,2,4,1,5,8,22,78,-2,3,0,3,3,回避距離,2,効果持続,2,耐暑,-2,耐寒,2,,,白兎獣の堅腹甲,3,白兎獣の剛毛,3,ジャギィの上鱗,6,ドラグライト鉱石,4
ケチャＳメイル,0,1,4,2,4,7,43,118,-5,3,-3,0,3,運気,-1,水属性攻撃,1,体術,1,気まぐれ,1,,,奇猿狐の大耳,2,奇猿狐の剛毛,2,堅牢な骨,1,ドスヘラクレス,2
ケチャＳレジスト,0,2,4,2,4,7,21,78,-4,4,-2,1,4,運気,-1,水属性攻撃,1,体術,1,気まぐれ,1,,,奇猿狐の大耳,2,奇猿狐の剛毛,2,堅牢な骨,1,ドスヘラクレス,2
コンガＳメイル,0,1,4,0,4,7,38,117,-4,1,1,-1,3,細菌学,3,特殊攻撃,1,食いしん坊,2,腹減り,-2,,,桃毛獣の剛毛,3,コンガの剛毛,4,獣骨,6,ドスヘラクレス,3
